iter	phi	mu	r	Density	Potential
0	0	0	0	2600	-541661
0	0	0	8000	2600	-541669
0	0	0	16000	2600	-541599
0	0	0	24000	2600	-541545
0	0	0	32000	2600	-541414
0	0	0	40000	2600	-541298
0	0	0	48000	2600	-541105
0	0	0	56000	2600	-540927
0	0	0	64000	2600	-540672
0	0	0	72000	2600	-540433
0	0	0	80000	2600	-540116
0	0	0	88000	2600	-539815
0	0	0	96000	2600	-539437
0	0	0	104000	2600	-539074
0	0	0	112000	2600	-538633
0	0	0	120000	2600	-538209
0	0	0	128000	2600	-537707
0	0	0	136000	2600	-537220
0	0	0	144000	2600	-536656
0	0	0	152000	2600	-536108
0	0	0	160000	2600	-535483
0	0	0	168000	2600	-534873
0	0	0	176000	2600	-534185
0	0	0	184000	2600	-533514
0	0	0	192000	2600	-532764
0	0	0	200000	2600	-532031
0	0	0	208000	2600	-531220
0	0	0	216000	2600	-530425
0	0	0	224000	2600	-529552
0	0	0	232000	2600	-528695
0	0	0	240000	2600	-527761
0	0	0	248000	2600	-526842
0	0	0	256000	2600	-525846
0	0	0	264000	2600	-524865
0	0	0	272000	2600	-523807
0	0	0	280000	2600	-522765
0	0	0	288000	2600	-521646
0	0	0	296000	2600	-520542
0	0	0	304000	2600	-519360
0	0	0	312000	2600	-518195
0	0	0	320000	2600	-516952
0	0	0	328000	2600	-515724
0	0	0	336000	2600	-514419
0	0	0	344000	2600	-513130
0	0	0	352000	2600	-511764
0	0	0	360000	2600	-510413
0	0	0	368000	2600	-508985
0	0	0	376000	2600	-507572
0	0	0	384000	2600	-506082
0	0	0	392000	2600	-504608
0	0	0	400000	2600	-503056
0	0	0	408000	2600	-501520
0	0	0	416000	2600	-499906
0	0	0	424000	2600	-498308
0	0	0	432000	2600	-496632
0	0	0	440000	2600	-494972
0	0	0	448000	2600	-493235
0	0	0	456000	2600	-491512
0	0	0	464000	2600	-489712
0	0	0	472000	2600	-487927
0	0	0	480000	2600	-486064
0	0	0	488000	2600	-484216
0	0	0	496000	2600	-482290
0	0	0	504000	2600	-480381
0	0	0	512000	2600	-478399
0	0	0	520000	2600	-476430
0	0	0	528000	2600	-474383
0	0	0	536000	2600	-472349
0	0	0	544000	2600	-470242
0	0	0	552000	2600	-468154
0	0	0	560000	2600	-465994
0	0	0	568000	2600	-463850
0	0	0	576000	2600	-461623
0	0	0	584000	2600	-459410
0	0	0	592000	2600	-457112
0	0	0	600000	2600	-454828
0	0	0	608000	2600	-452461
0	0	0	616000	2600	-450109
0	0	0	624000	2600	-447682
0	0	0	632000	2600	-445273
0	0	0	640000	2600	-442791
0	0	0	648000	2600	-440328
0	0	0	656000	2600	-437795
0	0	0	664000	2600	-435279
0	0	0	672000	2600	-432694
0	0	0	680000	2600	-430126
0	0	0	688000	2600	-427482
0	0	0	696000	2600	-424852
0	0	0	704000	2600	-422142
0	0	0	712000	2600	-419445
0	0	0	720000	2600	-416663
0	0	0	728000	2600	-413894
0	0	0	736000	2600	-411038
0	0	0	744000	2600	-408193
0	0	0	752000	2600	-405261
0	0	0	760000	2600	-402341
0	0	0	768000	2600	-399342
0	0	0	776000	2600	-396358
0	0	0	784000	2600	-393295
0	0	0	792000	2600	-390248
0	0	0	800000	2600	-387132
0	0	0	808000	2600	-384036
0	0	0	816000	2600	-380875
0	0	0	824000	2600	-377732
0	0	0	832000	2600	-374527
0	0	0	840000	2600	-371345
0	0	0	848000	2600	-368102
0	0	0	856000	2600	-364881
0	0	0	864000	2600	-361594
0	0	0	872000	2600	-358326
0	0	0	880000	2600	-354972
0	0	0	888000	2600	-351629
0	0	0	896000	2600	-348194
0	0	0	904000	2600	-344769
0	0	0	912000	2600	-341243
0	0	0	920000	2600	-337724
0	0	0	928000	2600	-334104
0	0	0	936000	2600	-330484
0	0	0	944000	2600	-326759
0	0	0	952000	2600	-323045
0	0	0	960000	2600	-319298
0	0	0	968000	0	-315657
0	0	0	976000	0	-312116
0	0	0	984000	0	-308671
0	0	0	992000	0	-305317
0	0	0	1e+06	0	-302050
0	0	0	1.008e+06	0	-298867
0	0	0	1.016e+06	0	-295763
0	0	0	1.024e+06	0	-292734
0	0	0.03125	0	2600	-541661
0	0	0.03125	8000	2600	-541669
0	0	0.03125	16000	2600	-541599
